iter,Gaussian,t(nu=4)
0,0.012293,0.011477
1,0.012267,0.011458
2,0.012217,0.011423
3,0.012142,0.011369
4,0.012045,0.011300
5,0.011926,0.011215
6,0.011786,0.011115
7,0.011626,0.011000
8,0.011449,0.010873
9,0.011254,0.010733
10,0.011044,0.010583
11,0.010820,0.010421
12,0.010584,0.010251
13,0.010336,0.010072
14,0.010080,0.009886
15,0.009815,0.009694
16,0.009543,0.009496
17,0.009267,0.009294
18,0.008986,0.009088
19,0.008704,0.008880
20,0.008420,0.008670
21,0.008136,0.008460
22,0.007854,0.008249
23,0.007575,0.008040
24,0.007299,0.007831
25,0.007027,0.007625
26,0.006761,0.007422
27,0.006502,0.007222
28,0.006250,0.007026
29,0.006005,0.006834
30,0.005769,0.006647
31,0.005542,0.006465
32,0.005325,0.006288
33,0.005117,0.006117
34,0.004920,0.005953
35,0.004733,0.005794
36,0.004556,0.005641
37,0.004390,0.005495
38,0.004235,0.005356
39,0.004090,0.005223
40,0.003956,0.005096
41,0.003832,0.004976
42,0.003719,0.004862
43,0.003615,0.004754
44,0.003521,0.004652
45,0.003436,0.004556
46,0.003361,0.004466
47,0.003293,0.004382
48,0.003235,0.004303
49,0.003183,0.004229
50,0.003140,0.004160
51,0.003103,0.004096
52,0.003072,0.004036
53,0.003047,0.003981
54,0.003028,0.003929
55,0.003014,0.003881
56,0.003004,0.003837
57,0.002998,0.003796
58,0.002996,0.003758
59,0.002997,0.003722
60,0.003001,0.003690
61,0.003007,0.003659
62,0.003015,0.003631
63,0.003024,0.003605
64,0.003035,0.003580
65,0.003046,0.003557
66,0.003058,0.003535
67,0.003070,0.003515
68,0.003083,0.003495
69,0.003094,0.003477
70,0.003106,0.003459
71,0.003117,0.003443
72,0.003127,0.003426
73,0.003136,0.003410
74,0.003143,0.003395
75,0.003150,0.003380
76,0.003155,0.003365
77,0.003159,0.003350
78,0.003162,0.003336
79,0.003163,0.003321
80,0.003163,0.003307
81,0.003161,0.003293
82,0.003158,0.003278
83,0.003153,0.003264
84,0.003147,0.003250
85,0.003140,0.003235
86,0.003131,0.003221
87,0.003122,0.003206
88,0.003111,0.003192
89,0.003099,0.003177
90,0.003086,0.003163
91,0.003073,0.003148
92,0.003058,0.003134
93,0.003043,0.003119
94,0.003028,0.003105
95,0.003012,0.003090
96,0.002995,0.003076
97,0.002979,0.003062
98,0.002962,0.003048
99,0.002945,0.003034
100,0.002928,0.003020
101,0.002911,0.003006
102,0.002894,0.002993
103,0.002877,0.002979
104,0.002860,0.002966
105,0.002844,0.002953
106,0.002828,0.002941
107,0.002813,0.002928
108,0.002798,0.002916
109,0.002783,0.002904
110,0.002769,0.002893
111,0.002755,0.002882
112,0.002742,0.002870
113,0.002729,0.002860
114,0.002717,0.002849
115,0.002706,0.002839
116,0.002695,0.002829
117,0.002684,0.002819
118,0.002674,0.002810
119,0.002665,0.002801
120,0.002656,0.002792
121,0.002648,0.002784
122,0.002640,0.002776
123,0.002632,0.002768
124,0.002625,0.002760
125,0.002619,0.002753
126,0.002613,0.002745
127,0.002607,0.002738
128,0.002601,0.002732
129,0.002596,0.002725
130,0.002591,0.002719
131,0.002586,0.002713
132,0.002581,0.002707
133,0.002577,0.002701
134,0.002573,0.002696
135,0.002569,0.002690
136,0.002565,0.002685
137,0.002561,0.002680
138,0.002557,0.002675
139,0.002553,0.002670
140,0.002550,0.002665
141,0.002546,0.002661
142,0.002542,0.002656
143,0.002538,0.002652
144,0.002535,0.002647
145,0.002531,0.002643
146,0.002527,0.002639
147,0.002523,0.002635
148,0.002519,0.002631
149,0.002515,0.002626
150,0.002511,0.002622
151,0.002507,0.002618
152,0.002503,0.002614
153,0.002499,0.002610
154,0.002495,0.002606
155,0.002490,0.002602
156,0.002486,0.002598
157,0.002482,0.002594
158,0.002477,0.002591
159,0.002473,0.002587
160,0.002469,0.002583
161,0.002464,0.002579
162,0.002460,0.002575
163,0.002455,0.002571
164,0.002451,0.002567
165,0.002447,0.002563
166,0.002442,0.002559
167,0.002438,0.002555
168,0.002434,0.002551
169,0.002430,0.002547
170,0.002426,0.002543
171,0.002422,0.002539
172,0.002418,0.002535
173,0.002414,0.002531
174,0.002410,0.002527
175,0.002407,0.002522
176,0.002403,0.002518
177,0.002400,0.002514
178,0.002396,0.002511
179,0.002393,0.002507
180,0.002390,0.002503
181,0.002387,0.002499
182,0.002384,0.002495
183,0.002382,0.002491
184,0.002379,0.002487
185,0.002377,0.002483
186,0.002374,0.002480
187,0.002372,0.002476
188,0.002370,0.002472
189,0.002368,0.002469
190,0.002366,0.002465
191,0.002364,0.002462
192,0.002363,0.002458
193,0.002361,0.002455
194,0.002360,0.002451
195,0.002358,0.002448
196,0.002357,0.002445
197,0.002356,0.002442
198,0.002355,0.002438
199,0.002354,0.002435
200,0.002353,0.002432
201,0.002352,0.002429
202,0.002351,0.002427
203,0.002350,0.002424
204,0.002349,0.002421
205,0.002349,0.002418
206,0.002348,0.002416
207,0.002348,0.002413
208,0.002347,0.002411
209,0.002346,0.002408
210,0.002346,0.002406
211,0.002345,0.002404
212,0.002345,0.002401
213,0.002344,0.002399
214,0.002344,0.002397
215,0.002344,0.002395
216,0.002343,0.002393
217,0.002343,0.002391
218,0.002342,0.002389
219,0.002342,0.002388
220,0.002341,0.002386
221,0.002341,0.002384
222,0.002341,0.002382
223,0.002340,0.002381
224,0.002340,0.002379
225,0.002339,0.002378
226,0.002339,0.002376
227,0.002339,0.002375
228,0.002338,0.002374
229,0.002338,0.002372
230,0.002337,0.002371
231,0.002337,0.002370
232,0.002336,0.002369
233,0.002336,0.002367
234,0.002335,0.002366
235,0.002335,0.002365
236,0.002335,0.002364
237,0.002334,0.002363
238,0.002334,0.002362
239,0.002333,0.002361
240,0.002333,0.002360
241,0.002332,0.002359
242,0.002332,0.002359
243,0.002331,0.002358
244,0.002331,0.002357
245,0.002331,0.002356
246,0.002330,0.002355
247,0.002330,0.002355
248,0.002329,0.002354
249,0.002329,0.002353
250,0.002329,0.002353
251,0.002328,0.002352
252,0.002328,0.002351
253,0.002328,0.002351
254,0.002327,0.002350
255,0.002327,0.002350
256,0.002327,0.002349
257,0.002327,0.002349
258,0.002326,0.002348
259,0.002326,0.002347
260,0.002326,0.002347
261,0.002326,0.002347
262,0.002326,0.002346
263,0.002326,0.002346
264,0.002325,0.002345
265,0.002325,0.002345
266,0.002325,0.002344
267,0.002325,0.002344
268,0.002325,0.002343
269,0.002325,0.002343
270,0.002325,0.002343
271,0.002325,0.002342
272,0.002325,0.002342
273,0.002325,0.002342
274,0.002325,0.002341
275,0.002325,0.002341
276,0.002325,0.002340
277,0.002325,0.002340
278,0.002325,0.002340
279,0.002325,0.002339
280,0.002325,0.002339
281,0.002325,0.002339
282,0.002325,0.002339
283,0.002326,0.002338
284,0.002326,0.002338
285,0.002326,0.002338
286,0.002326,0.002337
287,0.002326,0.002337
288,0.002326,0.002337
289,0.002326,0.002336
290,0.002326,0.002336
291,0.002327,0.002336
292,0.002327,0.002336
293,0.002327,0.002335
294,0.002327,0.002335
295,0.002327,0.002335
296,0.002327,0.002335
297,0.002327,0.002334
298,0.002328,0.002334
299,0.002328,0.002334
300,0.002328,0.002334
301,0.002328,0.002333
302,0.002328,0.002333
303,0.002328,0.002333
304,0.002329,0.002333
305,0.002329,0.002332
306,0.002329,0.002332
307,0.002329,0.002332
308,0.002329,0.002332
309,0.002329,0.002332
310,0.002330,0.002331
311,0.002330,0.002331
312,0.002330,0.002331
313,0.002330,0.002331
314,0.002330,0.002331
315,0.002331,0.002330
316,0.002331,0.002330
317,0.002331,0.002330
318,0.002331,0.002330
319,0.002331,0.002330
320,0.002331,0.002330
321,0.002332,0.002329
322,0.002332,0.002329
323,0.002332,0.002329
324,0.002332,0.002329
325,0.002332,0.002329
326,0.002333,0.002329
327,0.002333,0.002329
328,0.002333,0.002328
329,0.002333,0.002328
330,0.002333,0.002328
331,0.002333,0.002328
332,0.002334,0.002328
333,0.002334,0.002328
